heightOfBoard,widthOfBoard,numberOfMine,seed,r0,c0,summonMode,iterateMode,sTime,msTime,solved3BV,total3BV,isHelped
16,30,99,1729347536,4,5,3,-2,84,84000,140,140,0
16,30,99,1729347640,5,6,3,-2,83,83000,166,166,0
16,30,99,1729347727,5,6,3,-2,20,20000,56,183,0
16,30,99,1729347761,5,4,3,-2,33,33000,49,182,0
16,30,99,1729347794,4,7,3,-2,0,0,1,182,0
16,30,99,1729347792,8,5,3,-2,23,23000,37,173,0
16,30,99,1729347833,5,3,3,-2,1,1000,1,146,0
16,30,99,1729347836,4,3,3,-2,15,15000,42,173,0
16,30,99,1729347855,6,2,3,-2,12,12000,27,179,0
16,30,99,1729347879,6,3,3,-2,42,42000,75,201,0
16,30,99,1729347919,6,4,3,-2,6,6000,9,171,0
16,30,99,1729347931,5,3,3,-2,87,87000,169,169,0
16,30,99,1729348070,4,4,3,-2,90,90000,185,185,0
16,30,99,1729348158,7,4,3,-2,24,24000,34,150,0
16,30,99,1729348189,5,7,3,-2,38,38000,79,165,0
16,30,99,1729348231,8,5,3,-2,54,54000,69,123,0
16,30,99,1729348286,7,5,3,-2,83,83000,187,187,0
16,30,99,1729348500,7,4,3,-2,99,99000,164,171,0
16,30,99,1729348587,9,9,3,-2,95,95000,218,218,0
16,30,99,1729348720,5,2,3,-2,92,92000,148,148,0
16,30,99,1729348802,9,4,3,-2,31,31000,61,176,0
16,30,99,1729348842,7,7,3,-2,81,81000,152,152,0
16,30,99,1729348930,6,7,3,-2,6,6000,10,111,0
16,30,99,1729348937,7,5,3,-2,49,49000,103,159,0
16,30,99,1729349002,9,5,3,-2,82,82000,143,143,0
16,30,99,1729349090,7,7,3,-2,40,40000,90,160,0
16,30,99,1729349132,9,7,3,-2,6,6000,15,192,0
16,30,99,1729349149,10,1,3,-2,82,82000,123,148,0
16,30,99,1729349243,5,7,3,-2,91,91000,177,177,0
16,30,99,1729349334,6,4,3,-2,5,5000,7,179,0
16,30,99,1729349350,8,2,3,-2,81,81000,129,129,0
16,30,99,1729349433,6,5,3,-2,10,10000,32,169,0
16,30,99,1729349459,6,4,3,-2,80,80000,152,152,0
16,30,99,1729349577,7,5,3,-2,95,95000,197,197,0
16,30,99,1729349681,5,5,3,-2,7,7000,15,200,0
16,30,99,1729349687,7,4,3,-2,27,27000,45,172,0
16,30,99,1729349720,6,5,3,-2,50,50000,91,159,0
16,30,99,1729349776,8,8,3,-2,69,69000,145,181,0
16,30,99,1729349848,6,8,3,-2,83,83000,185,185,0
16,30,99,1729349949,5,3,3,-2,44,44000,75,145,0
16,30,99,1729350021,8,7,3,-2,23,23000,30,152,0
16,30,99,1729350047,7,5,3,-2,97,97000,171,188,0
16,30,99,1729350148,8,9,3,-2,8,8000,17,140,0
16,30,99,1729350176,7,4,3,-2,95,95000,185,185,0
16,30,99,1729350268,9,2,3,-2,8,8000,13,190,0
16,30,99,1729350287,7,5,3,-2,34,34000,67,137,0
16,30,99,1729350330,5,5,3,-2,68,68000,123,173,0
16,30,99,1729350398,6,8,3,-2,98,98000,206,206,0
16,30,99,1729350524,7,3,3,-2,89,89000,183,183,0
16,30,99,1729350617,8,4,3,-2,22,22000,36,157,0
16,30,99,1729350643,7,8,3,-2,76,76000,158,158,0
16,30,99,1729350838,7,8,3,-2,80,80000,150,150,0
16,30,99,1729350950,4,3,3,-2,37,37000,59,157,0
16,30,99,1729350966,10,5,3,-2,80,80000,145,179,0
16,30,99,1729351075,6,4,3,-2,60,60000,119,170,0
16,30,99,1729351137,8,12,3,-2,16,16000,39,179,0
16,30,99,1729351154,7,4,3,-2,1,1000,1,148,0
16,30,99,1729351157,6,3,3,-2,86,86000,208,208,0
16,30,99,1729351360,7,5,3,-2,34,34000,52,161,0
16,30,99,1729351402,6,5,3,-2,88,88000,162,162,0
16,30,99,1729351499,4,7,3,-2,1,1000,2,154,0
16,30,99,1729351511,7,5,3,-2,44,44000,97,166,0
16,30,99,1729351551,10,9,3,-2,78,78000,161,161,0
16,30,99,1729414287,5,3,3,-2,35,35000,66,152,0
16,30,99,1729414344,7,6,3,-2,30,30000,60,186,0
16,30,99,1729414372,7,5,3,-2,37,37000,69,195,0
16,30,99,1729414412,7,5,3,-2,7,7000,13,250,0
16,30,99,1729414454,6,6,3,-2,103,103000,156,162,0
16,30,99,1729414563,6,6,3,-2,87,87000,170,170,0
16,30,99,1729414736,5,7,3,-2,87,87000,156,156,0
16,30,99,1729414844,8,6,3,-2,99,99000,184,184,0
16,30,99,1729414951,8,7,3,-2,62,62000,162,193,0
16,30,99,1729415151,5,6,3,-2,77,77000,143,143,0
16,30,99,1729415262,8,3,3,-2,50,50000,94,180,0
16,30,99,1729415296,6,7,3,-2,23,23000,46,176,0
16,30,99,1729415333,6,3,3,-2,34,34000,71,171,0
16,30,99,1729415365,9,4,3,-2,10,10000,24,153,0
16,30,99,1729415380,8,6,3,-2,60,60000,90,169,0
16,30,99,1729415446,6,7,3,-2,35,35000,65,160,0
16,30,99,1729415483,7,8,3,-2,83,83000,166,166,0
16,30,99,1729415589,8,4,3,-2,26,26000,49,152,0
16,30,99,1729415639,9,10,3,-2,91,91000,183,183,0
16,30,99,1729415736,5,7,3,-2,15,15000,12,181,0
16,30,99,1729415748,7,4,3,-2,93,93000,183,183,0
16,30,99,1729415843,8,7,3,-2,89,89000,212,212,0
16,30,99,1729416053,8,6,3,-2,99,99000,153,155,0
16,30,99,1729416165,10,5,3,-2,101,101000,160,167,0
16,30,99,1729416265,8,6,3,-2,86,86000,161,161,0
16,30,99,1729416362,8,4,3,-2,4,4000,9,169,0
16,30,99,1729416379,6,4,3,-2,80,80000,184,184,0
16,30,99,1729416478,7,5,3,-2,70,70000,152,231,0
16,30,99,1729416546,9,8,3,-2,92,92000,192,192,0
16,30,99,1729416660,8,6,3,-2,9,9000,16,168,0
16,30,99,1729416673,7,8,3,-2,88,88000,182,182,0
16,30,99,1729416766,6,6,3,-2,27,27000,42,166,0
16,30,99,1729416797,8,7,3,-2,3,3000,1,151,0
16,30,99,1729416812,6,6,3,-2,80,80000,127,127,0
16,30,99,1729416902,7,7,3,-2,54,54000,82,195,0
16,30,99,1729416955,5,4,3,-2,89,89000,168,168,0
16,30,99,1729417049,9,6,3,-2,48,48000,77,140,0
16,30,99,1729417101,8,12,3,-2,80,80000,158,196,0
16,30,99,1729417185,8,11,3,-2,75,75000,149,153,0
16,30,99,1729417271,7,10,3,-2,25,25000,60,172,0
16,30,99,1729417295,10,2,3,-2,25,25000,77,243,0
16,30,99,1729417332,6,2,3,-2,90,90000,204,204,0
16,30,99,1729417426,8,4,3,-2,7,7000,14,170,0
16,30,99,1729417436,8,7,3,-2,6,6000,15,178,0
16,30,99,1729417447,7,7,3,-2,39,39000,81,185,0
16,30,99,1729417495,6,8,3,-2,82,82000,133,133,0
16,30,99,1729417581,6,3,3,-2,75,75000,180,180,0
16,30,99,1729418258,6,4,3,-2,77,77000,166,166,0
16,30,99,1729418349,6,5,3,-2,81,81000,180,194,0
16,30,99,1729418432,7,10,3,-2,91,91000,208,208,0
16,30,99,1729418537,7,5,3,-2,79,79000,128,163,0
16,30,99,1729418621,6,13,3,-2,66,66000,127,183,0
16,30,99,1729418685,9,11,3,-2,49,49000,113,189,0
16,30,99,1729418746,8,15,3,-2,26,26000,54,181,0
16,30,99,1729418774,8,4,3,-2,74,74000,134,165,0
16,30,99,1729418856,9,7,3,-2,90,90000,178,178,0
16,30,99,1729418943,7,11,3,-2,16,16000,35,163,0
16,30,99,1729418966,9,6,3,-2,92,92000,152,154,0
16,30,99,1729419068,7,14,3,-2,29,29000,54,186,0
16,30,99,1729419094,6,5,3,-2,16,16000,46,212,0
16,30,99,1729419129,8,5,3,-2,84,84000,179,179,0
16,30,99,1729431226,4,5,3,-2,100,100000,173,173,0
16,30,99,1729431413,7,9,3,-2,91,91000,179,179,0
